number,count,frequency,posterior_mean,recency_score,markov_repeat_prob,current_streak,longest_streak,heuristic_score,rank
22,4,0.006734006734006734,0.008389261744966443,2.00390508927798e-05,0.0,0,1,0.0033683677003074454,88
71,4,0.006734006734006734,0.008389261744966443,9.989813426797813e-06,0.0,0,1,0.0033648504671943517,89
48,4,0.006734006734006734,0.008389261744966443,6.2895967169566155e-06,0.0,0,1,0.003363555391345907,90
15,3,0.005050505050505051,0.006711409395973154,0.0006294791429379467,0.0,0,1,0.0028252258418491752,91
24,3,0.005050505050505051,0.006711409395973154,4.719253884418631e-05,0.0,0,1,0.002621425530416359,92
86,3,0.005050505050505051,0.006711409395973154,3.794994845104027e-05,0.0,0,1,0.002618190623778758,93
16,3,0.005050505050505051,0.006711409395973154,9.252577730824127e-06,0.0,0,1,0.002608146544026682,94
9,3,0.005050505050505051,0.006711409395973154,6.229655380126999e-08,0.0,0,1,0.0026049299456147243,95
80,1,0.0016835016835016834,0.003355704697986577,0.0033076398526810592,0.0,0,1,0.002249690308911107,96
75,2,0.003367003367003367,0.0050335570469798654,0.00029366431980854663,0.0,0,1,0.001951244763079806,97
84,2,0.003367003367003367,0.0050335570469798654,0.00012532962563752045,0.0,0,1,0.0018923276201199468,98
69,2,0.003367003367003367,0.0050335570469798654,1.2812934803403005e-06,0.0,0,1,0.0018489107038649338,99
3,1,0.0016835016835016834,0.003355704697986577,3.284322415940123e-08,0.0,0,1,0.001092027855601192,100
